,sr_open_date,sr_close_date,activity_type_std,Cos,hour,dummy_sr_number,dummy_sysid,dummy_part_number
868,2017-10-15,2017-11-19,,10.9720856,0.0,sr5665,sys1693,part14
869,2019-09-13,2019-02-11,,69.08922469,0.0,sr10362,sys1693,part678
870,2020-05-08,2020-09-15,,196.3997795,0.0,sr4814,sys1693,part17
875,2019-12-27,2020-02-15,Field Service,4539.76908,0.0,sr377,sys1447,part66
876,2021-03-06,2021-06-07,Field Service,512.6821795,0.0,sr7093,sys1701,part22
890,2017-04-28,2018-11-06,Field Service,312.7123231,0.0,sr1222,sys1920,part26
913,2020-02-14,2020-08-21,,27.12335334,0.0,sr6105,sys1451,part98
914,2021-02-24,2021-02-04,Field Service,51.99286428,0.0,sr1193,sys1632,part260
916,2019-01-31,2019-09-03,Field Service,193.0169093,0.0,sr6610,sys1878,part31
938,2020-01-13,2020-02-16,Field Service,680.3645102,0.0,sr4768,sys1936,part119
944,2019-09-08,2019-09-23,Field Service,310.9890806,0.0,sr2783,sys2104,part632
951,2021-06-18,2021-07-25,,0.97683984,0.0,sr1674,sys1529,part499
954,2019-11-28,2019-12-31,Field Service,92.65105728,0.0,sr5512,sys1706,part141
961,2019-06-11,2019-12-24,Field Service,61.64486141,0.0,sr3485,sys1495,part9
964,2017-11-07,2017-11-11,,176.294906,0.0,sr15844,sys1880,part32
969,2019-10-16,2019-11-19,Field Service,72.34278903,0.0,sr2629,sys1581,part18
979,2018-11-04,2018-05-27,,790.5832171,0.0,sr1730,sys931,part113
981,2020-06-09,2020-09-17,Field Service,315.27,0.0,sr2853,sys1735,part65
982,2018-12-16,2019-03-19,Field Service,423.48,0.0,sr6237,sys1735,part178
984,2018-02-28,2018-05-04,Field Service,675.42,0.0,sr2595,sys2121,part29
986,2017-11-23,2017-12-29,Field Service,261.67,0.0,sr11208,sys1541,part59
997,2019-10-25,2019-11-27,Field Service,773.3506570000001,0.0,sr1697,sys2230,part1
1001,2015-09-23,2016-01-18,Field Service,39.56952118,0.0,sr2255,sys1872,part312
1005,2019-05-09,2019-11-10,Field Service,178.0717617,0.0,sr4879,sys1872,part229
1016,2020-02-10,2020-07-11,,11.49555221,0.0,sr3941,sys2006,part815
1022,2019-04-11,2019-12-20,,13.30905318,0.0,sr11325,sys1771,part886
1024,2021-01-26,2021-03-22,Field Service,100.400018,0.0,sr2259,sys1504,part67
1031,2019-06-17,2019-07-21,,10.32477499,0.0,sr6582,sys1573,part20
1034,2020-11-12,2021-01-22,,33.64471589,0.0,sr1933,sys1573,part23
1051,2019-03-29,2019-09-06,Field Service,3193.451399,0.0,sr405,sys1630,part162
1054,2018-06-18,2018-10-08,Field Service,108.9759746,0.0,sr8484,sys2037,part167
1056,2016-12-20,2017-10-10,Field Service,843.9948148,0.0,sr3262,sys2037,part261
1058,2019-09-17,2019-10-22,Field Service,107.83037649999999,0.0,sr13347,sys2037,part112
1070,2018-05-02,2018-03-17,Field Service,4570.839086,0.0,sr1862,sys1673,part66
1072,2018-06-09,2018-03-11,Field Service,54.17446364,0.0,sr10539,sys721,part190
1079,2017-11-17,2018-10-30,,35.44672348,0.0,sr2804,sys1334,part1170
1089,2020-10-21,2020-11-24,Field Service,46.86738997,0.0,sr6710,sys1981,part197
1095,2020-10-26,2020-11-29,Field Service,1189.376569,0.0,sr14485,sys1681,part129
1098,2018-07-03,2018-09-04,Field Service,492.7396655,0.0,sr8190,sys2009,part99
1101,2021-08-27,2021-01-09,Field Service,238.2283046,0.0,sr7734,sys1565,part11
1106,2017-04-17,2017-10-30,Field Service,440.0363793000001,0.0,sr55,sys2086,part1095
1118,2016-10-11,2017-01-01,Field Service,16707.75806,0.0,sr2979,sys1639,part3
1120,2017-09-26,2017-02-10,Field Service,314.42242789999995,0.0,sr3302,sys1639,part7
1121,2016-11-25,2016-12-27,Field Service,16991.1083,0.0,sr4349,sys1873,part2
1122,2020-08-28,2020-09-24,,11.32547691,0.0,sr887,sys1784,part298
1123,2019-07-26,2019-08-31,,10.2438509,0.0,sr12881,sys1784,part20
1134,2017-03-24,2017-04-29,Field Service,2263.042495,0.0,sr2545,sys2510,part243
1137,2019-02-28,2019-02-04,,28.20151771,0.0,sr3313,sys2510,part5
1138,2021-03-08,2021-09-23,,8.056028029,0.0,sr201,sys1762,part225
1142,2020-04-09,2020-07-11,Field Service,97.45254066,0.0,sr9959,sys1762,part130
1156,2018-10-30,2019-05-01,Field Service,1179.933464,0.0,sr7782,sys1634,part13
1184,2020-05-31,2020-07-18,Field Service,13814.14695,0.0,sr6082,sys1033,part3
1199,2018-07-26,2018-08-10,Field Service,242.50924980000002,0.0,sr9003,sys1999,part74
1202,2017-10-15,2017-03-12,,189.336592,0.0,sr8067,sys1965,part18
1213,2019-06-05,2019-11-06,,10.437847,0.0,sr8141,sys1996,part20
1216,2017-11-14,2018-08-01,Field Service,2630.637202,0.0,sr2539,sys1975,part87
1224,2019-04-06,2019-07-19,Field Service,774.2243258999999,0.0,sr14691,sys1654,part1
1243,2018-03-23,2018-06-05,Field Service,341.890815,0.0,sr12809,sys2153,part59
1256,2019-04-24,2019-02-08,,10.56175691,0.0,sr7974,sys1794,part20
1259,2017-05-10,2018-01-21,,2781.769559,0.0,sr723,sys1736,part4
1281,2020-07-13,2020-08-16,,480.48642800000005,0.0,sr4451,sys1902,part22
1292,2018-11-20,2018-12-17,Field Service,253.03698250000002,0.0,sr6792,sys1001,part24
1297,2018-07-05,2018-06-17,,356.77532460000003,0.0,sr13220,sys806,part30
1300,2019-04-03,2019-10-04,,4.2085612999999995,0.0,sr4720,sys1623,part38
1302,2019-06-03,2019-02-05,,0.07962143,0.0,sr5357,sys1623,part282
1304,2020-10-20,2021-01-20,,5.25439812,0.0,sr93,sys1100,part437
1309,2020-08-13,2020-08-21,,21.63549613,0.0,sr11,sys2244,part762
1310,2020-08-13,2020-08-21,,37.39568613,0.0,sr11,sys2244,part392
1316,2018-07-30,2018-02-08,Field Service,2615.897816,0.0,sr738,sys1444,part4
1323,2021-04-14,2021-04-28,,19.50729666,0.0,sr7979,sys1877,part14
1327,2017-03-02,2017-03-13,Field Service,915.1870690999999,0.0,sr1337,sys2481,part8
1329,2017-02-03,2017-04-23,Field Service,16821.61611,0.0,sr308,sys2481,part3
1333,2017-06-11,2017-12-22,Field Service,0.0,0.0,sr4525,sys1478,part500
1346,2018-01-18,2018-02-23,Field Service,293.8094972,0.0,sr11721,sys2426,part7
1347,2018-04-06,2018-08-07,Field Service,18041.93455,0.0,sr3227,sys2426,part2
1355,2017-09-25,2017-05-11,Field Service,18850.699,0.0,sr2831,sys1075,part2
1364,2018-01-15,2018-02-03,,333.8528309,0.0,sr11785,sys1114,part26
1370,2019-12-07,2019-08-16,Field Service,2288.6530620000003,0.0,sr3946,sys2470,part4
1374,2019-04-16,2019-05-18,Field Service,1548.996849,0.0,sr6392,sys812,part106
1376,2013-11-22,2014-05-01,Field Service,0.0,0.0,sr8074,sys1554,part6
1382,2018-01-29,2018-03-19,Field Service,248.16317519999998,0.0,sr7010,sys875,part86
1385,2018-02-01,2018-05-03,,18.40021473,0.0,sr675,sys875,part21
1391,2018-10-12,2019-01-19,,19.468285199999997,0.0,sr1031,sys1760,part545
1397,2019-09-05,2019-06-17,Field Service,129.40225,0.0,sr4589,sys2307,part36
1418,2013-01-11,2013-05-12,Field Service,0.0,0.0,sr5085,sys1462,part50
1423,2016-03-02,2016-12-02,Field Service,14510.943580000001,0.0,sr407,sys1846,part16
1428,2021-12-03,2021-04-06,Field Service,85.95931096,0.0,sr3976,sys1476,part34
1440,2021-05-26,2021-07-13,,1.8071505,0.0,sr589,sys1963,part1105
1462,2019-08-03,2019-04-14,Field Service,249.19232689999998,0.0,sr4055,sys1592,part24
1464,2021-02-02,2021-07-30,,3.935350332,0.0,sr6736,sys1592,part57
1465,2020-01-15,2020-02-18,Field Service,63.03380352,0.0,sr6187,sys1592,part9
1466,2019-11-06,2019-11-10,Field Service,216.389316,0.0,sr11837,sys1592,part6
1471,2018-10-27,2018-03-12,,11.29911062,0.0,sr3605,sys1551,part20
1478,2017-11-05,2017-06-23,Field Service,846.5114411000001,0.0,sr6365,sys2100,part1
1480,2018-11-16,2018-12-23,Field Service,228.92396519999997,0.0,sr10687,sys2031,part6
1494,2019-05-28,2019-06-21,Field Service,14551.198219999998,0.0,sr1248,sys1566,part2
1495,2020-09-07,2020-08-22,Field Service,63.69829670000001,0.0,sr7592,sys1566,part9
1497,2021-03-15,2021-04-20,Field Service,67.85141202,0.0,sr7114,sys1447,part9
1506,2020-07-23,2020-08-29,,17.29355345,0.0,sr903,sys1795,part39
1508,2021-04-03,2021-04-17,,30.44985993,0.0,sr9704,sys1528,part5
1509,2020-09-11,2021-01-21,,245.0357037,0.0,sr1090,sys1518,part24
1514,2018-02-03,2018-03-07,,17.85424355,0.0,sr4656,sys2165,part38
1519,2020-06-07,2020-10-08,,12.54850823,0.0,sr1939,sys1854,part184
1528,2021-07-14,2021-08-20,,60.22500534,0.0,sr322,sys1564,part5
1530,2021-10-08,2021-12-09,Field Service,305.92854900000003,0.0,sr6949,sys1564,part445
1531,2019-11-09,2019-10-21,Field Service,61.42127508,0.0,sr6471,sys1564,part9
1541,2020-03-12,2021-01-18,,0.72188803,0.0,sr2057,sys1796,part69
1544,2020-03-13,2020-08-17,,13.83001599,0.0,sr1171,sys1713,part82
1552,2019-12-08,2019-09-13,,27.8940159,0.0,sr4906,sys1770,part5
1555,2019-02-01,2019-02-15,,28.48261957,0.0,sr4444,sys1936,part5
1561,2021-08-07,2021-05-09,,33.54455203,0.0,sr7655,sys1820,part116
1564,2021-07-09,2021-09-15,Field Service,489.0054737,0.0,sr109,sys1473,part73
1569,2019-03-26,2019-05-21,Field Service,782.7032612,0.0,sr4074,sys2193,part1
1570,2019-03-25,2019-04-05,Field Service,1119.215465,0.0,sr2136,sys1799,part234
1571,2021-07-29,2021-02-09,Field Service,135.6550196,0.0,sr3852,sys1799,part112
1572,2018-08-03,2018-04-14,Field Service,529.7341576,0.0,sr11331,sys1529,part370
1574,2020-09-07,2020-08-15,Field Service,1707.4741649999999,0.0,sr4307,sys1706,part60
1579,2017-10-30,2017-08-12,Field Service,455.8704368,0.0,sr5505,sys1841,part100
1583,2019-11-19,2019-12-24,Field Service,295.0823131,0.0,sr1098,sys1495,part54
1587,2017-04-09,2017-10-13,Field Service,1844.056236,0.0,sr13,sys1880,part742
1593,2018-02-15,2018-03-25,Field Service,18450.05305,0.0,sr799,sys2221,part3
1594,2016-09-12,2017-01-15,Field Service,283.0676069,0.0,sr5915,sys2221,part7
1601,2018-12-16,2019-03-19,Field Service,229.98,0.0,sr6237,sys1735,part531
1608,2013-05-07,2013-08-18,Field Service,0.0,0.0,sr1369,sys2230,part56
1610,2012-11-29,2013-01-22,Field Service,0.0,0.0,sr4432,sys1872,part312
1617,2014-12-08,2014-09-15,Field Service,234.2832565,0.0,sr10490,sys1814,part459
1629,2017-11-20,2017-12-25,Field Service,63.25712878,0.0,sr1633,sys1594,part46
1641,2019-12-30,2020-02-02,,26.90991586,0.0,sr5120,sys1573,part5
1659,2021-11-06,2021-07-20,Field Service,343.89646569999996,0.0,sr7716,sys1916,part65
1666,2021-03-05,2021-11-06,Field Service,74.65941099,0.0,sr2285,sys1559,part494
1668,2017-12-13,2018-10-07,Field Service,545.7256707,0.0,sr2569,sys2037,part7
1680,2020-10-26,2021-01-23,Field Service,103.164834,0.0,sr78,sys1995,part464
1682,2019-06-13,2019-09-11,,7.274328444,0.0,sr5340,sys2155,part676
1692,2018-04-27,2018-03-06,Field Service,976.9621221000001,0.0,sr5716,sys1297,part1
1694,2017-04-01,2017-03-20,Field Service,209.5784324,0.0,sr7568,sys1297,part15
1701,2017-11-17,2018-10-30,,32.23684618,0.0,sr2804,sys1334,part43
1706,2021-07-05,2021-02-08,Field Service,84.93622409,0.0,sr11290,sys2129,part206
1707,2018-10-08,2018-11-09,Field Service,250.61674440000002,0.0,sr6716,sys2129,part44
1708,2020-09-16,2020-02-10,,12.751380099999999,0.0,sr9,sys1681,part174
1709,2020-09-16,2020-02-10,Field Service,226.4529366,0.0,sr9,sys1681,part313
1711,2020-09-16,2020-02-10,,40.36356935,0.0,sr9,sys1681,part181
1716,2017-12-09,2017-10-29,Field Service,355.4482813,0.0,sr10860,sys1527,part74
1731,2014-05-12,2015-05-18,,199.8034279,0.0,sr3952,sys807,part191
1744,2021-01-09,2021-09-20,Field Service,495.72817310000005,0.0,sr2894,sys1776,part22
1745,2019-07-22,2019-01-08,,84.09300998,0.0,sr16713,sys1776,part259
1752,2016-09-15,2016-11-19,,97.606891,0.0,sr7383,sys1846,part114
1768,2019-12-03,2019-04-16,Field Service,1544.746738,0.0,sr3142,sys635,part106
1782,2016-12-26,2017-01-28,Field Service,907.3826393999999,0.0,sr8812,sys1732,part31
1788,2016-01-25,2016-04-26,Field Service,92.18783393,0.0,sr1822,sys832,part127
1793,2021-12-04,2021-05-18,Field Service,234.0982436,0.0,sr8942,sys1864,part24
1797,2018-03-21,2018-04-28,Field Service,1570.224536,0.0,sr63,sys1653,part13
1798,2017-06-13,2017-08-12,,485.860647,0.0,sr113,sys1653,part103
1801,2019-02-12,2020-05-01,Field Service,811.2447068,0.0,sr8671,sys1583,part1
1808,2018-09-07,2018-11-08,Field Service,108.18914280000001,0.0,sr3858,sys1729,part10
1809,2017-02-15,2017-03-21,Field Service,210.4052555,0.0,sr1129,sys1693,part11
1811,2021-02-24,2021-07-18,,33.89634245,0.0,sr37,sys1693,part1104
1825,2019-08-04,2019-05-28,Field Service,123.53605729999998,0.0,sr2152,sys1795,part432
1834,2018-11-30,2018-12-27,Field Service,17561.21585,0.0,sr4921,sys1666,part2
1837,2019-01-25,2019-08-04,,33.83744378,0.0,sr1701,sys2165,part33
1840,2019-03-22,2019-04-26,,0.0,0.0,sr14607,sys1482,part579
1842,2019-11-06,2019-07-22,Field Service,83.32294115,0.0,sr1673,sys1854,part125
1843,2020-06-07,2020-10-08,,5.936928624,0.0,sr1939,sys1854,part591
1852,2017-10-04,2017-04-29,Field Service,1994.3476,0.0,sr853,sys1796,part88
1861,2019-04-23,2019-01-06,Field Service,12167.46332,0.0,sr2337,sys1629,part27
1863,2018-11-13,2019-03-03,Field Service,441.35447259999995,0.0,sr8637,sys1629,part209
1869,2019-12-08,2019-09-13,,27.8940159,0.0,sr4906,sys1770,part5
1870,2017-06-10,2020-07-02,,30.66220878,0.0,sr462,sys1987,part288
1871,2018-08-28,2018-01-10,Field Service,491.5595851,0.0,sr1279,sys1987,part22
1880,2017-10-27,2018-02-13,Field Service,726.2798766,0.0,sr8814,sys1529,part140
1886,2018-01-16,2018-02-19,Field Service,492.4106528,0.0,sr6322,sys1495,part31
1887,2018-01-15,2018-02-26,,6.31950564,0.0,sr10615,sys1724,part252
1891,2018-09-01,2018-11-02,,22.34396637,0.0,sr15125,sys1880,part12
1892,2017-10-31,2017-05-12,Field Service,8695.386723,0.0,sr1556,sys1880,part133
1895,2020-07-07,2020-08-17,Field Service,194.7492496,0.0,sr8225,sys1779,part15
1896,2021-03-09,2021-06-09,,13.54947762,0.0,sr5862,sys1785,part643
1901,2020-02-28,2020-04-13,Field Service,13593.52795,0.0,sr4380,sys934,part2
1905,2017-12-14,2018-01-22,Field Service,271.7727258,0.0,sr8939,sys931,part50
1908,2018-06-12,2019-02-14,Field Service,1134.69,0.0,sr2124,sys1735,part133
1909,2017-08-11,2017-12-24,Field Service,1329.7,0.0,sr2399,sys1735,part753
1916,2019-03-25,2019-07-05,,10.53277774,0.0,sr1429,sys2230,part20
1921,2018-08-03,2018-11-08,Field Service,914.4633062999999,0.0,sr15164,sys1872,part1
1924,2019-07-05,2019-06-30,Field Service,340.661568,0.0,sr1452,sys650,part224
1930,2019-05-02,2021-09-07,Field Service,107.53374099999999,0.0,sr148,sys1532,part414
1939,2020-04-22,2020-05-30,,10.51601059,0.0,sr15579,sys1219,part20
1952,2016-12-13,2017-01-17,Field Service,863.2609821000001,0.0,sr6128,sys1573,part214
1959,2017-10-26,2017-10-12,Field Service,366.2117738,0.0,sr10721,sys1725,part374
1971,2019-03-29,2019-09-06,Field Service,1106.084895,0.0,sr405,sys1630,part234
1979,2021-02-18,2021-04-13,Field Service,495.6126193,0.0,sr13947,sys2034,part768
1980,2021-01-14,2021-02-26,Field Service,731.7926683,0.0,sr11827,sys2034,part30
1988,2018-05-30,2018-01-07,,770.4339006,0.0,sr19687,sys1751,part140
1994,2016-10-28,2016-12-30,Field Service,17906.97981,0.0,sr94,sys721,part2
2003,2020-02-25,2020-04-17,,28.19589705,0.0,sr4328,sys1919,part5
2005,2020-08-24,2020-09-28,,29.45764925,0.0,sr3147,sys1919,part5
