,dummy_sysid,ageagainstinstallation,RemainingTime,count,hour,Last_service,dummy_part_number
737831,sys1933,7.65,5.787935413,23,0,6.253379604,0
737849,sys1850,7.65,5.785197506,17,4.75,3.159544686,0
739949,sys740,7.63,5.766032157,8,0.27,2.165684443,0
742363,sys1886,7.63,7.113082404,7,0.2,4.150667023,1
742723,sys2165,7.62,7.104868683,10,0.8,4.156142837,1
744550,sys742,7.62,7.433417524,13,1,3.24715771,0
745264,sys1983,7.61,7.091179148,7,0,3.43059748,0
745300,sys1949,7.6,3.345722363,12,0.05,6.239690069,0
746686,sys1777,7.6,4.703724238,9,0,1.166348385,0
747130,sys1611,7.59,5.711274017,51,0.14,3.32929492,0
747634,sys2193,7.58,4.684558889,8,2,0.156060699,0
747698,sys2296,7.56,4.66539354,2,0,2.954201661,0
747707,sys1956,7.56,5.694846575,15,0,0.153322792,0
748411,sys1846,7.54,7.022731473,15,1.77,2.16842235,0
750686,sys1797,7.53,5.664729597,11,1.25,5.147265173,0
752461,sys1723,7.53,7.011779845,35,0.26,3.241681896,0
756136,sys2376,7.53,5.66199169,2,1.5,0.492823261,0
756142,sys2322,7.52,5.659253783,7,0.73,0.492823261,0
756282,sys2187,7.52,7.003566124,4,0,0.498299075,0
756303,sys1695,7.52,3.263585152,27,0.03,3.156806779,0
766137,sys2416,7.52,4.624324935,7,0,4.487429584,0
766153,sys2033,7.52,3.761884228,10,2.5,0.246411631,0
766525,sys1699,7.52,5.651040062,15,0,0.23819791,0
777676,sys1800,7.52,5.651040062,14,0,3.162282593,0
786666,sys1341,7.51,3.600347714,9,4,3.1650205,1
788464,sys1594,7.51,4.618849121,12,0,4.243755861,0
793624,sys1748,7.51,3.252633524,7,0,2.245083746,0
793792,sys1994,7.51,3.252633524,9,0.03,1.158134664,0
793966,sys2406,7.49,6.973449147,1,0,4.224590512,0
793967,sys1736,7.48,3.556541202,16,0,1.319671177,1
799686,sys1937,7.46,5.590806108,4,0,3.56749283,0
799746,sys2081,7.45,3.531900039,4,0.23,3.011697708,0
799760,sys2059,7.44,4.547663539,2,4,1.210154897,0
799761,sys1834,7.44,3.184185849,16,0.03,1.23479606,0
804441,sys2183,7.4,5.514144712,3,0,4.246493768,0
804526,sys721,7.37,3.091097011,20,0.07,4.161618651,1
816046,sys1768,7.36,3.107524453,16,0,0.243673724,0
834058,sys969,7.36,3.085621197,8,0.03,3.173234221,0
834682,sys1578,7.36,3.107524453,8,0,3.154068872,0
834922,sys1715,7.36,3.107524453,13,0.34,0.249149538,1
836374,sys680,7.34,7.159626823,17,1,4.161618651,0
837193,sys2075,7.34,4.449098886,13,0,0.577698378,0
837556,sys2195,7.31,5.445697037,7,0,0.161536513,0
837668,sys1927,7.3,5.434745409,13,0,3.170496314,0
847836,sys1636,7.29,3.030863057,7,1.1,3.408694224,0
848056,sys1138,7.27,3.241681896,10,0,4.158880744,0
848131,sys1522,7.27,3.353936084,29,4,0.161536513,0
860283,sys655,7.26,7.08022752,8,1.37,4.150667023,0
860580,sys1824,7.26,3.34846027,11,0,2.151994907,0
862351,sys884,7.24,2.962415382,13,0,0.158798606,0
866082,sys1520,7.21,5.347132385,11,,2.236870025,1
866754,sys1484,7.2,5.330704943,12,0,0.172488141,1
866890,sys1620,7.18,3.225254454,7,0.67,1.338836526,0
866941,sys2324,7.18,2.904919334,9,0,2.162946536,1
867565,sys2095,7.18,6.560025189,1,0.27,3.854973066,0
867567,sys1022,7.18,2.896705613,13,4.35,0.156060699,0
871607,sys1444,7.17,2.891229799,19,0,5.169168429,0
878159,sys2010,7.16,5.300587966,17,0,0.169750234,0
878909,sys1627,7.12,2.839209566,4,0,4.246493768,0
879251,sys1087,7.12,6.935118449,10,0.15,4.150667023,0
880492,sys979,7.11,2.833733752,10,0,2.154732814,0
882988,sys1396,7.1,2.839209566,18,0,1.245747688,0
898396,sys1297,7.09,2.814568403,9,1,4.334106792,0
898792,sys1915,7.09,3.214302826,7,0,1.322409084,1
898824,sys1018,7.08,3.167758407,9,0,0.240935817,1
899040,sys870,7.07,2.78992724,23,2,2.16842235,1
900120,sys1807,7.06,5.996016345,10,2.11,3.156806779,0
903117,sys1532,7.06,6.543597747,18,1,0.156060699,0
904129,sys1710,7.04,3.115738174,21,0,0.418899772,1
904149,sys1716,7.01,2.7351691,13,0.93,1.396332574,0
906445,sys1951,7.01,3.091097011,1,0.6,0.40247233,0
906453,sys1516,7.01,5.147265173,17,0,0.235460003,0
912369,sys745,7,2.718741658,22,2,5.155478894,0
913058,sys462,6.98,2.705052123,15,0,1.15265885,0
924038,sys1618,6.98,5.111672382,4,0.3,0.150584885,0
924076,sys1929,6.95,4.791337262,22,0,2.236870025,0
946329,sys1966,6.95,3.025387243,16,0.27,1.169086292,0
951875,sys2048,6.94,4.219114698,4,0.03,1.404546295,0
951945,sys1784,6.94,3.025387243,10,1.5,1.253961409,1
955809,sys931,6.92,6.740727051,10,0.58,4.336844699,0
957209,sys1725,6.92,2.639342355,22,0,0.235460003,0
962756,sys912,6.92,2.639342355,5,0.07,1.251223502,0
962843,sys716,6.92,2.636604448,14,0,1.155396757,0
964323,sys2072,6.89,2.863850729,2,0,3.252633524,0
964895,sys1922,6.88,2.601011657,8,0,4.232804233,0
965490,sys1459,6.88,2.601011657,15,3.38,1.147183036,1
968040,sys1884,6.88,2.998008173,11,0,2.258773281,0
971066,sys1615,6.87,3.113000267,25,1.75,2.151994907,0
971451,sys2128,6.86,2.584584215,6,0,0.421637679,0
971543,sys2215,6.86,2.603749564,7,0.35,3.931634462,0
971546,sys1357,6.84,4.95834959,11,0,3.156806779,0
971924,sys1896,6.81,2.92682259,10,0,2.151994907,1
971952,sys2168,6.8,6.27528286,3,1.4,3.312867478,0
971956,sys1707,6.8,2.880278171,6,0,3.496307248,0
971968,sys1024,6.79,2.910395148,9,0.11,0.161536513,0
972176,sys2002,6.79,2.877540264,10,0,2.239607932,1
972257,sys1312,6.78,6.253379604,14,0,3.151330965,0
973097,sys1869,6.78,4.621587028,11,0.5,2.562680959,0
973133,sys673,6.76,2.486019562,13,,3.162282593,1
973823,sys1862,6.75,2.841947473,15,0.78,4.246493768,0
977435,sys1774,6.75,2.472330027,8,0.74,3.173234221,1
978421,sys1531,6.75,2.724217472,6,1.48,0.251887445,0
978772,sys1864,6.75,2.46959212,8,0,1.144445129,1
981584,sys1847,6.72,2.444950957,15,0,1.155396757,0
981881,sys2313,6.72,2.44221305,12,0,4.008295858,0
981885,sys2088,6.72,2.439475143,6,0.4,0.32033512,1
981933,sys605,6.71,4.558615167,10,0.4,3.227992361,0
982621,sys1448,6.71,2.431261422,34,0,1.155396757,0
995675,sys1866,6.7,2.820044217,2,0,0.153322792,0
995695,sys1002,6.7,2.81730631,10,1.32,4.241017954,0
995877,sys1617,6.66,4.509332841,16,0,1.155396757,0
998461,sys1471,6.66,2.746120728,16,0,3.1650205,1
999379,sys1726,6.64,2.726955379,14,0.13,2.151994907,0
1001929,sys719,6.61,2.335434677,15,0,1.155396757,0
1016237,sys1526,6.61,2.335434677,19,0,2.16842235,0
1018810,sys1672,6.61,2.699576309,7,2.01,1.41823583,0
1019626,sys1704,6.61,2.329958863,12,5,0.150584885,0
1020046,sys1943,6.6,2.718741658,10,0,3.159544686,0
1022601,sys2031,6.59,2.310793514,11,0.18,3.323819106,0
1023889,sys2069,6.58,6.053512392,7,3,0.167012327,0
1023994,sys1528,6.57,2.294366072,7,0,0.235460003,0
1024868,sys832,6.56,2.286152351,11,2.07,1.23479606,0
1029446,sys1783,6.56,2.644818169,10,0.09,0.158798606,0
1039490,sys1902,6.54,2.62565282,32,0.25,4.238280047,0
1052206,sys2276,6.53,2.253297467,1,0,0.284742329,0
1052218,sys1859,6.52,2.603749564,10,4,0.156060699,1
1052792,sys1920,6.52,2.636604448,10,0.69,3.241681896,0
1058072,sys1802,6.52,2.603749564,9,1,4.323155164,1
1058216,sys1746,6.52,2.236870025,11,0,1.155396757,0
1058888,sys1375,6.51,2.59827375,25,1.84,0.339500469,1
1059749,sys1967,6.5,2.225918397,7,0,0.156060699,0
1060541,sys1653,6.5,2.225918397,22,4,2.157470722,0
1065314,sys1954,6.48,5.95494774,6,0.22,2.409358166,0
1065364,sys1873,6.47,4.320417257,6,1.25,0.150584885,0
1070925,sys2086,6.46,4.301251908,34,2.9,2.154732814,0
1079714,sys1667,6.46,2.543515609,13,1,1.163610478,0
1081037,sys1868,6.45,2.535301888,11,0,0.150584885,0
1089997,sys2014,6.42,2.141043279,17,0,1.325146991,0
1090077,sys2093,6.42,4.536711911,7,0,3.241681896,0
1090092,sys2114,6.4,2.113664209,1,0,2.321745142,0
1090107,sys2127,6.4,2.113664209,1,0,1.106114431,0
1090128,sys2103,6.36,2.453164678,15,0,4.167094465,0
1090848,sys2145,6.36,2.486019562,12,4.5,1.166348385,0
1090876,sys1637,6.35,4.197211442,9,0,4.156142837,0
1093356,sys1893,6.34,2.431261422,7,0,2.173898164,0
1095278,sys2024,6.33,2.423047701,10,0.08,1.166348385,0
1097806,sys2304,6.33,4.175308186,5,0.65,4.503857026,0
1097884,sys1664,6.3,2.026051185,10,0.74,3.230730268,0
1101038,sys864,6.3,2.026051185,24,0.45,1.155396757,0
1102018,sys2249,6.29,2.381979096,15,0.75,0.16427442,0
1103362,sys1518,6.29,2.015099557,10,0,0.323073027,1
1104172,sys1890,6.29,4.139715395,4,0,4.336844699,0
1104312,sys2005,6.28,5.922092856,8,0,2.16842235,0
1104462,sys1919,6.27,2.395668631,11,1,3.156806779,0
1107794,sys2388,6.27,2.36007584,2,0,4.167094465,0
1107884,sys1972,6.27,1.990458394,7,0.54,1.166348385,1
1112828,sys1517,6.27,1.990458394,11,0.11,0.161536513,0
1113116,sys2219,6.26,1.051356291,10,0.08,2.84468538,0
1113130,sys1817,6.26,1.98498258,9,0.45,3.241681896,1
1115170,sys2310,6.26,1.976768859,1,0,2.661245611,0
1115173,sys1892,6.26,2.343648398,9,0,1.149920943,0
1115437,sys2129,6.26,2.376503282,18,0.72,1.144445129,0
1118437,sys1737,6.25,4.098646789,14,0.5,4.410768188,0
1118962,sys1558,6.24,1.963079324,13,0,2.151994907,0
1119480,sys875,6.23,1.952127696,12,0,2.143781186,1
1127760,sys735,6.23,2.313531421,16,0,0.167012327,0
1129860,sys2107,6.21,2.299841886,12,0.5,4.167094465,0
1131585,sys641,6.19,1.913796998,11,1.42,3.1650205,0
1137945,sys924,6.19,4.035674928,10,0.12,1.325146991,0
1138204,sys858,6.19,2.27793863,8,0,0.172488141,0
1138624,sys1818,6.17,2.256035374,9,0,3.156806779,0
1145540,sys2299,6.17,2.256035374,11,3,4.147929116,1
1146245,sys1591,6.16,2.253297467,13,4,3.312867478,1
1146385,sys1116,6.16,1.886417928,29,0.1,1.15265885,0
1147615,sys1810,6.15,1.8754663,17,0.22,3.170496314,1
1151907,sys888,6.15,1.8754663,9,0,2.143781186,0
1152424,sys1909,6.13,2.25055956,34,0,4.156142837,0
1158004,sys1345,6.12,2.204015141,15,0.5,3.1650205,0
1168093,sys1749,6.11,1.831659788,5,0.6,3.159544686,0
1168253,sys783,6.09,1.815232346,12,0.45,3.143117244,0
1172485,sys2306,6.09,1.812494439,2,0,3.145855151,0
1172581,sys686,6.09,1.812494439,20,0,0.156060699,1
1173673,sys1541,6.08,2.201277234,4,2.08,1.23479606,1
1173727,sys2443,6.08,2.165684443,2,2.35,1.74678467,0
1173728,sys2046,6.04,1.76595002,9,0,1.155396757,1
1174283,sys461,6.04,1.76595002,13,0,3.167758407,0
1178723,sys1877,6.03,2.12187793,8,4,1.237533967,0
1182143,sys1546,6.03,2.116402116,8,3.15,2.154732814,1
1182535,sys1639,6.02,2.108188395,7,1.5,0.16427442,0
1186595,sys1975,6.02,1.738570949,12,1,1.15265885,0
1191158,sys1996,6.02,1.738570949,12,0,4.161618651,0
1192040,sys2131,6.01,4.134239581,6,0.17,4.227328419,0
1192381,sys934,6.01,1.735833042,9,5.32,2.486019562,1
1193881,sys1806,6,2.089023046,10,1,0.150584885,0
1198102,sys1739,5.99,3.83306981,1,0,1.505848854,0
1198130,sys1458,5.99,3.83306981,12,0.07,3.170496314,1
1198250,sys935,5.98,1.700240251,11,0.19,4.23554214,0
1199195,sys891,5.98,3.824856089,14,0.51,0.169750234,0
1199645,sys1773,5.97,2.056168162,6,1.96,0.413423958,0
