,dummy_sr_number,dummy_sysid,sr_open_date,count
136,sr142,sys2111,2020-05-28,18
137,sr141,sys650,2018-12-06,18
138,sr140,sys1865,2021-02-24,18
139,sr139,sys2414,2015-11-05,18
140,sr138,sys1023,2019-09-23,18
141,sr151,sys2189,2017-03-27,18
142,sr131,sys1100,2020-12-21,18
143,sr153,sys1396,2019-07-02,18
144,sr127,sys1607,2016-06-12,18
145,sr124,sys1448,2020-06-30,18
146,sr136,sys1125,2012-04-24,18
147,sr126,sys1514,2018-01-17,18
148,sr125,sys1757,2017-11-22,18
149,sr128,sys619,2019-04-17,18
150,sr129,sys1959,2018-10-04,18
151,sr130,sys2129,2019-05-03,18
152,sr137,sys1880,2019-11-12,18
153,sr182,sys1645,2020-07-15,17
154,sr183,sys1701,2021-06-14,17
155,sr184,sys1810,2019-05-21,17
156,sr185,sys2458,2017-09-21,17
157,sr187,sys1850,2019-10-01,17
158,sr188,sys2076,2017-01-09,17
159,sr181,sys2251,2018-06-02,17
160,sr189,sys1516,2018-12-03,17
161,sr191,sys1861,2016-12-28,17
162,sr170,sys1857,2015-01-04,17
163,sr180,sys1872,2019-03-07,17
164,sr173,sys1527,2019-02-28,17
165,sr168,sys1900,2018-01-07,17
166,sr167,sys2492,2017-04-01,17
167,sr166,sys827,2018-12-21,17
168,sr165,sys1393,2013-06-28,17
169,sr164,sys1475,2021-08-09,17
170,sr171,sys2032,2019-04-10,17
171,sr172,sys2014,2020-12-15,17
172,sr163,sys2425,2019-05-28,17
173,sr162,sys1635,2019-12-23,17
174,sr161,sys860,2014-09-18,17
175,sr160,sys796,2018-09-27,17
176,sr159,sys680,2018-01-16,17
177,sr179,sys1848,2018-08-01,17
178,sr158,sys819,2017-03-02,17
179,sr157,sys807,2015-01-28,17
180,sr156,sys2010,2019-09-16,17
181,sr155,sys1829,2019-07-06,17
182,sr174,sys1606,2018-02-28,17
183,sr154,sys2369,2021-10-05,17
184,sr175,sys1827,2018-06-13,17
185,sr176,sys1923,2019-01-18,17
186,sr177,sys1881,2018-04-29,17
187,sr178,sys2197,2020-11-08,17
188,sr169,sys1732,2017-11-09,17
189,sr186,sys1606,2017-11-12,17
190,sr190,sys807,2021-10-03,17
191,sr233,sys1736,2020-06-29,16
192,sr209,sys1895,2017-01-25,16
193,sr210,sys1624,2018-03-13,16
194,sr232,sys1553,2017-09-12,16
195,sr211,sys1690,2017-07-30,16
196,sr231,sys1690,2018-05-29,16
197,sr212,sys1834,2021-03-26,16
198,sr230,sys795,2017-11-09,16
199,sr213,sys2452,2018-02-21,16
200,sr229,sys1900,2017-01-11,16
201,sr214,sys1778,2020-02-12,16
202,sr228,sys1581,2018-03-13,16
203,sr227,sys623,2018-04-13,16
204,sr215,sys1333,2020-09-21,16
205,sr216,sys1693,2021-06-25,16
206,sr226,sys1959,2021-01-26,16
207,sr217,sys1763,2021-08-04,16
208,sr225,sys1471,2018-08-13,16
209,sr218,sys2240,2020-02-07,16
210,sr224,sys2042,2018-04-13,16
211,sr219,sys1812,2019-07-01,16
212,sr223,sys1986,2020-06-29,16
213,sr220,sys2146,2017-12-19,16
214,sr222,sys1524,2017-01-19,16
215,sr221,sys735,2020-10-30,16
216,sr234,sys1939,2018-08-03,16
217,sr208,sys927,2016-02-12,16
218,sr237,sys2098,2016-08-06,16
219,sr192,sys2089,2018-01-16,16
220,sr193,sys2134,2018-08-12,16
221,sr194,sys909,2019-12-08,16
222,sr195,sys1966,2017-03-20,16
223,sr196,sys1624,2019-11-13,16
224,sr197,sys1617,2018-07-27,16
225,sr198,sys1285,2019-10-19,16
226,sr199,sys1393,2020-07-28,16
227,sr200,sys1448,2021-04-26,16
228,sr201,sys1762,2021-03-08,16
229,sr202,sys1614,2019-04-09,16
230,sr203,sys1768,2017-03-17,16
231,sr204,sys695,2019-12-16,16
232,sr205,sys2710,2017-05-24,16
233,sr236,sys1854,2020-08-06,16
234,sr206,sys1851,2018-09-27,16
235,sr207,sys2129,2017-08-17,16
236,sr235,sys735,2020-09-30,16
237,sr285,sys686,2020-07-27,15
238,sr286,sys1712,2019-10-10,15
239,sr284,sys2167,2019-12-17,15
240,sr279,sys1720,2020-01-09,15
241,sr274,sys2042,2019-01-16,15
242,sr283,sys1847,2017-01-08,15
243,sr282,sys1929,2017-08-09,15
244,sr264,sys860,2014-06-11,15
245,sr265,sys619,2019-05-08,15
246,sr266,sys1699,2018-04-21,15
247,sr267,sys1345,2016-02-26,15
248,sr268,sys932,2017-04-10,15
249,sr269,sys1929,2020-09-25,15
250,sr270,sys1334,2015-11-30,15
251,sr271,sys1100,2019-01-14,15
252,sr272,sys1929,2018-06-12,15
253,sr273,sys1932,2014-01-22,15
254,sr288,sys1565,2020-08-06,15
255,sr275,sys1503,2016-05-17,15
256,sr276,sys462,2018-01-19,15
257,sr277,sys719,2017-12-28,15
258,sr278,sys1778,2019-01-27,15
259,sr280,sys1075,2019-09-09,15
260,sr281,sys1459,2021-10-05,15
261,sr287,sys1396,2016-04-22,15
262,sr294,sys1883,2019-08-27,15
263,sr289,sys1122,2020-02-24,15
264,sr290,sys1504,2020-02-11,15
265,sr311,sys1396,2021-03-18,15
266,sr310,sys1589,2015-06-11,15
267,sr309,sys2331,2019-04-02,15
268,sr308,sys2481,2017-02-03,15
269,sr307,sys807,2020-07-04,15
270,sr306,sys2103,2017-07-22,15
271,sr305,sys1812,2020-01-20,15
272,sr304,sys2151,2018-03-26,15
273,sr303,sys1393,2017-02-03,15
274,sr302,sys1929,2017-03-30,15
275,sr301,sys1038,2020-08-21,15
276,sr300,sys1572,2017-10-20,15
277,sr299,sys1485,2018-03-12,15
278,sr298,sys671,2020-02-03,15
279,sr297,sys671,2021-02-22,15
280,sr296,sys2111,2017-09-05,15
281,sr295,sys2249,2017-04-13,15
282,sr262,sys2062,2018-02-03,15
283,sr293,sys1476,2018-06-27,15
284,sr292,sys1862,2021-02-16,15
285,sr291,sys1393,2014-05-26,15
286,sr263,sys1116,2020-09-10,15
287,sr248,sys1537,2018-11-12,15
288,sr251,sys1537,2018-09-19,15
289,sr241,sys2029,2017-11-13,15
290,sr243,sys1762,2021-01-18,15
291,sr244,sys1763,2020-10-08,15
292,sr240,sys1122,2013-05-07,15
293,sr245,sys870,2019-08-07,15
294,sr239,sys1497,2017-11-22,15
295,sr246,sys1723,2017-10-30,15
296,sr238,sys1846,2016-04-26,15
297,sr247,sys2032,2019-02-18,15
298,sr261,sys2076,2018-07-08,15
299,sr249,sys1862,2018-12-06,15
300,sr250,sys1857,2017-07-14,15
301,sr242,sys623,2018-01-17,15
302,sr252,sys735,2017-09-10,15
303,sr253,sys2343,2019-11-15,15
304,sr254,sys2460,2018-06-14,15
305,sr255,sys2034,2020-08-10,15
306,sr256,sys1961,2018-02-20,15
307,sr257,sys1956,2016-02-17,15
308,sr258,sys1442,2019-12-19,15
309,sr259,sys2006,2018-05-17,15
310,sr260,sys1660,2021-05-14,15
311,sr383,sys2271,2021-04-19,14
312,sr348,sys716,2014-12-26,14
313,sr340,sys1116,2020-05-22,14
314,sr384,sys1446,2021-07-04,14
315,sr350,sys1437,2021-02-07,14
316,sr347,sys1737,2019-09-09,14
317,sr334,sys671,2021-04-19,14
318,sr382,sys2390,2019-04-02,14
319,sr346,sys1713,2019-02-12,14
320,sr333,sys2270,2018-05-11,14
321,sr329,sys2121,2017-11-16,14
322,sr332,sys618,2020-03-04,14
323,sr331,sys1932,2018-01-10,14
324,sr330,sys1800,2021-07-15,14
325,sr351,sys1100,2018-03-19,14
326,sr328,sys649,2021-05-26,14
327,sr327,sys864,2019-01-17,14
328,sr326,sys2492,2021-03-15,14
329,sr355,sys1534,2017-09-18,14
330,sr325,sys2123,2021-05-20,14
331,sr381,sys1504,2018-12-03,14
332,sr379,sys891,2019-03-15,14
333,sr385,sys1469,2019-06-17,14
334,sr389,sys1539,2017-10-25,14
335,sr341,sys1674,2018-04-02,14
336,sr339,sys2200,2021-02-19,14
337,sr323,sys1699,2021-06-23,14
338,sr338,sys1755,2019-05-03,14
339,sr337,sys1686,2021-07-29,14
340,sr342,sys2390,2019-01-30,14
341,sr336,sys1966,2019-09-20,14
342,sr354,sys1312,2019-06-14,14
343,sr343,sys591,2018-07-30,14
344,sr345,sys1719,2021-10-08,14
345,sr388,sys1651,2020-01-04,14
346,sr387,sys2249,2017-01-17,14
347,sr353,sys1941,2017-11-07,14
348,sr380,sys1726,2019-02-26,14
349,sr352,sys1585,2019-08-26,14
350,sr386,sys1547,2019-03-15,14
351,sr335,sys1592,2017-05-22,14
352,sr344,sys1041,2018-06-04,14
353,sr324,sys2209,2018-05-14,14
354,sr361,sys1459,2018-09-17,14
355,sr322,sys1564,2021-07-14,14
356,sr358,sys750,2017-11-21,14
357,sr321,sys1945,2018-01-31,14
358,sr376,sys2358,2019-06-06,14
359,sr375,sys1476,2019-07-26,14
360,sr374,sys1719,2019-01-14,14
361,sr373,sys2079,2017-05-12,14
362,sr372,sys1795,2020-07-15,14
363,sr371,sys1527,2017-06-30,14
364,sr370,sys1871,2018-10-01,14
365,sr359,sys1980,2020-03-07,14
366,sr356,sys1722,2017-08-30,14
367,sr369,sys1971,2020-07-22,14
368,sr368,sys1929,2020-12-14,14
369,sr367,sys1575,2019-10-15,14
370,sr366,sys2249,2017-03-13,14
371,sr365,sys1857,2017-01-12,14
372,sr364,sys2083,2019-11-02,14
373,sr363,sys2231,2017-06-26,14
374,sr362,sys1495,2019-09-24,14
375,sr357,sys1959,2018-11-06,14
376,sr349,sys732,2016-09-15,14
377,sr316,sys1812,2017-03-21,14
378,sr320,sys2052,2019-08-20,14
379,sr312,sys591,2018-07-03,14
380,sr378,sys719,2018-05-18,14
381,sr319,sys735,2016-07-25,14
382,sr318,sys2209,2019-09-18,14
383,sr377,sys1447,2019-12-27,14
384,sr317,sys1565,2019-11-21,14
385,sr360,sys1693,2018-06-22,14
386,sr313,sys1125,2015-07-29,14
387,sr315,sys1539,2017-03-28,14
388,sr314,sys870,2019-07-15,14
389,sr461,sys673,2021-01-27,13
390,sr463,sys2075,2021-04-05,13
391,sr462,sys1987,2017-06-10,13
392,sr477,sys2042,2018-02-16,13
393,sr460,sys884,2020-11-16,13
394,sr479,sys1635,2020-04-28,13
395,sr459,sys1823,2019-05-27,13
396,sr458,sys1768,2021-06-04,13
397,sr457,sys1742,2017-04-25,13
398,sr456,sys896,2019-06-06,13
399,sr464,sys635,2017-03-30,13
400,sr465,sys462,2017-11-23,13
401,sr484,sys1667,2017-12-14,13
402,sr466,sys2289,2018-03-16,13
403,sr476,sys686,2021-04-30,13
404,sr475,sys1812,2017-04-24,13
405,sr474,sys1725,2020-11-12,13
406,sr485,sys2137,2017-06-19,13
407,sr473,sys1022,2019-04-26,13
408,sr472,sys2478,2020-09-09,13
409,sr483,sys1203,2014-09-30,13
410,sr486,sys1479,2016-06-07,13
411,sr470,sys2391,2020-02-24,13
412,sr482,sys1482,2018-12-24,13
413,sr481,sys1716,2018-05-22,13
414,sr455,sys1921,2018-11-25,13
415,sr480,sys1800,2017-02-13,13
416,sr469,sys1876,2018-03-28,13
417,sr468,sys461,2018-02-22,13
418,sr467,sys1100,2021-03-29,13
419,sr478,sys1535,2017-02-20,13
420,sr487,sys1929,2019-02-25,13
421,sr471,sys1534,2020-07-22,13
422,sr454,sys2043,2017-11-01,13
423,sr409,sys2010,2017-02-20,13
424,sr390,sys1558,2017-02-14,13
425,sr419,sys1243,2020-03-23,13
426,sr418,sys1547,2019-12-20,13
427,sr417,sys1958,2017-04-04,13
428,sr416,sys742,2016-11-17,13
429,sr391,sys1116,2018-06-22,13
430,sr415,sys1495,2017-06-21,13
431,sr414,sys2472,2017-09-05,13
432,sr413,sys1768,2018-06-20,13
433,sr412,sys1844,2017-07-11,13
434,sr411,sys981,2019-01-30,13
435,sr410,sys2035,2018-12-03,13
436,sr392,sys2080,2021-08-03,13
437,sr408,sys806,2020-01-04,13
438,sr422,sys1912,2016-11-15,13
439,sr407,sys1846,2016-03-02,13
440,sr393,sys1646,2020-10-28,13
441,sr406,sys586,2018-12-21,13
442,sr405,sys1630,2019-03-29,13
443,sr404,sys1125,2016-06-14,13
444,sr403,sys1829,2019-10-15,13
445,sr402,sys1038,2020-03-17,13
446,sr401,sys1591,2018-05-23,13
447,sr400,sys453,2018-08-27,13
448,sr394,sys1125,2012-02-15,13
449,sr395,sys1715,2018-11-04,13
450,sr399,sys1660,2019-04-12,13
451,sr396,sys1747,2020-12-28,13
452,sr420,sys2390,2017-06-10,13
453,sr423,sys986,2020-11-27,13
454,sr453,sys1476,2018-07-20,13
455,sr439,sys2352,2019-06-03,13
456,sr452,sys819,2018-08-03,13
457,sr451,sys1756,2018-10-15,13
458,sr450,sys1598,2018-01-25,13
459,sr449,sys2481,2017-07-02,13
460,sr448,sys1814,2018-10-30,13
461,sr447,sys2133,2018-01-06,13
462,sr446,sys1929,2016-10-11,13
463,sr445,sys1565,2021-01-20,13
464,sr444,sys1446,2018-01-18,13
465,sr443,sys2154,2020-06-29,13
466,sr442,sys2248,2020-09-01,13
467,sr441,sys1851,2018-08-06,13
468,sr440,sys1607,2021-01-26,13
469,sr438,sys1121,2013-11-15,13
470,sr424,sys1837,2017-09-18,13
471,sr437,sys2307,2018-03-01,13
472,sr436,sys1814,2018-02-08,13
473,sr435,sys1449,2019-02-22,13
474,sr434,sys1871,2019-02-11,13
475,sr433,sys735,2019-07-11,13
476,sr432,sys1382,2019-01-29,13
477,sr431,sys1469,2017-08-29,13
478,sr430,sys2079,2016-11-29,13
479,sr429,sys1305,2017-09-18,13
480,sr428,sys1812,2019-07-24,13
481,sr427,sys1443,2017-04-10,13
482,sr426,sys1570,2019-09-09,13
483,sr425,sys1585,2019-08-22,13
484,sr421,sys1660,2021-10-03,13
485,sr398,sys1732,2017-09-02,13
486,sr397,sys1927,2016-10-13,13
487,sr560,sys1644,2017-12-06,12
488,sr590,sys1114,2019-01-29,12
489,sr592,sys1594,2021-07-30,12
490,sr593,sys2209,2018-05-28,12
491,sr594,sys1548,2020-12-10,12
492,sr595,sys1100,2016-12-16,12
493,sr596,sys1443,2018-10-22,12
494,sr597,sys1910,2017-08-11,12
495,sr598,sys2136,2017-01-11,12
496,sr600,sys1871,2020-04-02,12
497,sr601,sys827,2021-12-03,12
498,sr602,sys1831,2017-07-21,12
499,sr603,sys1704,2018-01-23,12
500,sr604,sys1581,2018-10-15,12
501,sr605,sys818,2020-01-28,12
502,sr606,sys1549,2019-02-07,12
503,sr607,sys2107,2017-04-25,12
504,sr608,sys2147,2017-05-15,12
505,sr591,sys2248,2018-09-01,12
506,sr589,sys1963,2021-05-26,12
507,sr493,sys2263,2018-01-16,12
508,sr588,sys1478,2020-01-03,12
509,sr491,sys1965,2017-12-07,12
510,sr490,sys1959,2020-04-25,12
511,sr575,sys1486,2018-08-08,12
512,sr489,sys1469,2019-12-27,12
513,sr576,sys462,2017-01-20,12
514,sr488,sys1448,2020-04-08,12
515,sr577,sys875,2017-03-13,12
516,sr578,sys1796,2021-05-18,12
517,sr579,sys1519,2021-07-15,12
518,sr580,sys1832,2021-03-28,12
519,sr581,sys1863,2017-11-22,12
520,sr582,sys1022,2016-03-24,12
521,sr583,sys1100,2018-05-03,12
522,sr584,sys2133,2017-06-04,12
523,sr585,sys1949,2020-04-28,12
524,sr586,sys1727,2019-01-05,12
525,sr561,sys637,2020-10-19,12
526,sr609,sys623,2019-12-24,12
527,sr610,sys1529,2020-07-01,12
528,sr611,sys1023,2020-06-15,12
529,sr612,sys2079,2017-10-23,12
530,sr633,sys1939,2018-02-23,12
531,sr634,sys2156,2020-07-08,12
532,sr635,sys1725,2018-01-02,12
533,sr636,sys1023,2017-03-31,12
534,sr637,sys1975,2018-08-02,12
535,sr638,sys1537,2017-03-29,12
536,sr639,sys1696,2021-12-05,12
537,sr640,sys1634,2019-03-09,12
538,sr641,sys1666,2019-08-04,12
539,sr642,sys1607,2019-04-12,12
540,sr643,sys807,2016-06-27,12
541,sr644,sys1122,2015-12-29,12
542,sr645,sys1075,2019-12-26,12
543,sr646,sys1800,2018-09-04,12
544,sr647,sys2264,2017-09-05,12
545,sr648,sys623,2019-09-30,12
546,sr649,sys1885,2019-12-19,12
547,sr632,sys1129,2017-11-08,12
548,sr631,sys2009,2017-12-20,12
549,sr630,sys1941,2016-03-15,12
550,sr620,sys2175,2017-10-10,12
551,sr613,sys2034,2018-06-26,12
552,sr614,sys2271,2020-06-05,12
553,sr615,sys695,2019-11-27,12
554,sr616,sys2470,2017-06-06,12
555,sr617,sys1384,2019-02-19,12
556,sr618,sys1995,2018-12-17,12
557,sr619,sys1458,2016-09-20,12
558,sr621,sys1879,2017-12-06,12
559,sr629,sys1266,2019-07-11,12
560,sr622,sys2313,2017-01-20,12
561,sr623,sys2107,2016-11-22,12
562,sr624,sys643,2019-06-02,12
563,sr625,sys1063,2020-07-20,12
564,sr626,sys1862,2018-07-13,12
565,sr627,sys1885,2020-01-27,12
566,sr628,sys1444,2021-10-05,12
567,sr492,sys1508,2019-07-24,12
568,sr587,sys1996,2017-03-04,12
569,sr494,sys1023,2019-05-27,12
570,sr563,sys2034,2019-12-09,12
571,sr540,sys461,2017-11-12,12
572,sr495,sys2015,2019-01-25,12
573,sr539,sys1573,2021-01-19,12
574,sr538,sys1733,2020-10-16,12
575,sr537,sys1573,2020-07-20,12
576,sr536,sys2040,2019-10-10,12
577,sr535,sys1660,2019-01-28,12
578,sr534,sys2083,2019-12-09,12
579,sr533,sys1388,2017-09-19,12
580,sr565,sys1720,2019-09-12,12
581,sr532,sys2481,2019-04-11,12
582,sr531,sys1114,2020-11-23,12
583,sr530,sys2269,2018-05-07,12
584,sr566,sys1927,2018-04-05,12
585,sr529,sys827,2013-07-30,12
586,sr528,sys1796,2019-05-03,12
587,sr527,sys1770,2019-08-30,12
588,sr541,sys719,2018-08-16,12
589,sr542,sys1834,2017-08-21,12
590,sr525,sys2035,2017-06-04,12
591,sr543,sys2427,2020-10-08,12
592,sr559,sys1961,2017-12-01,12
593,sr558,sys1621,2019-05-12,12
594,sr557,sys1778,2021-06-26,12
595,sr556,sys2034,2021-07-06,12
596,sr555,sys735,2017-01-31,12
597,sr554,sys1581,2019-09-20,12
598,sr553,sys1305,2017-05-12,12
599,sr552,sys1883,2017-04-27,12
600,sr551,sys2145,2016-04-24,12
601,sr550,sys1889,2018-12-27,12
602,sr562,sys1420,2019-11-11,12
603,sr549,sys1862,2017-11-04,12
604,sr548,sys1575,2016-03-08,12
605,sr547,sys680,2016-09-26,12
606,sr546,sys1895,2019-12-24,12
607,sr545,sys1705,2020-07-29,12
608,sr544,sys1768,2017-03-10,12
609,sr526,sys1594,2020-07-28,12
610,sr564,sys1484,2019-08-22,12
611,sr524,sys735,2019-03-01,12
612,sr510,sys1721,2017-08-15,12
613,sr508,sys1816,2018-01-21,12
614,sr507,sys710,2013-04-22,12
615,sr506,sys2507,2015-10-26,12
616,sr571,sys1759,2017-05-07,12
617,sr505,sys618,2019-04-06,12
618,sr504,sys2251,2018-02-15,12
619,sr503,sys1971,2020-09-29,12
620,sr502,sys783,2020-03-09,12
621,sr501,sys1850,2019-12-09,12
622,sr500,sys2269,2017-07-12,12
623,sr572,sys1768,2018-11-06,12
624,sr573,sys1116,2017-02-11,12
625,sr499,sys1670,2017-04-13,12
626,sr567,sys932,2020-08-13,12
627,sr574,sys1486,2018-02-16,12
628,sr497,sys1482,2018-03-04,12
629,sr496,sys827,2018-07-03,12
630,sr509,sys1929,2016-09-19,12
631,sr498,sys1519,2019-11-06,12
632,sr599,sys1843,2019-01-29,12
633,sr518,sys1908,2019-09-08,12
634,sr511,sys2252,2020-03-07,12
635,sr568,sys1747,2020-08-31,12
636,sr523,sys2104,2021-02-02,12
637,sr521,sys2391,2019-03-07,12
638,sr520,sys1755,2018-07-30,12
639,sr569,sys806,2018-09-24,12
640,sr519,sys649,2021-03-02,12
641,sr522,sys2230,2013-08-07,12
642,sr517,sys1645,2020-02-07,12
643,sr516,sys1418,2020-08-09,12
644,sr515,sys1644,2019-05-08,12
645,sr570,sys649,2019-09-09,12
646,sr514,sys719,2020-04-03,12
647,sr513,sys1448,2021-02-14,12
648,sr512,sys618,2020-04-16,12
649,sr882,sys783,2020-08-31,11
650,sr874,sys1033,2017-03-17,11
651,sr867,sys795,2018-08-06,11
652,sr868,sys1463,2018-05-11,11
653,sr869,sys2043,2017-03-07,11
654,sr870,sys1075,2019-11-09,11
655,sr871,sys1956,2016-02-02,11
656,sr872,sys1689,2017-11-07,11
657,sr873,sys1567,2018-07-22,11
658,sr877,sys1629,2020-12-15,11
659,sr875,sys1910,2017-12-22,11
660,sr876,sys1584,2021-04-21,11
661,sr881,sys1585,2017-02-17,11
662,sr878,sys1919,2017-09-10,11
663,sr879,sys1987,2020-04-21,11
664,sr865,sys2167,2016-02-03,11
665,sr799,sys2221,2018-02-15,11
666,sr880,sys1858,2020-09-30,11
667,sr866,sys1393,2013-01-28,11
668,sr847,sys1910,2018-05-16,11
669,sr864,sys686,2021-07-06,11
670,sr853,sys1796,2017-10-04,11
671,sr846,sys1868,2019-11-04,11
672,sr850,sys1114,2020-09-04,11
673,sr848,sys2058,2018-05-28,11
674,sr849,sys1573,2020-03-30,11
675,sr845,sys2289,2017-02-14,11
676,sr851,sys1243,2017-03-28,11
677,sr852,sys1862,2020-08-04,11
678,sr854,sys673,2018-02-05,11
679,sr863,sys1625,2017-12-01,11
680,sr855,sys1779,2021-03-26,11
681,sr856,sys648,2017-10-18,11
682,sr858,sys586,2018-04-18,11
683,sr859,sys1715,2021-06-18,11
684,sr860,sys1319,2021-03-18,11
685,sr861,sys1797,2017-06-14,11
686,sr862,sys1614,2019-11-29,11
687,sr857,sys977,2018-10-15,11
688,sr798,sys2369,2021-07-13,11
689,sr844,sys1319,2017-05-09,11
690,sr710,sys819,2016-09-29,11
691,sr712,sys1516,2020-07-15,11
692,sr809,sys923,2019-05-14,11
693,sr713,sys1693,2019-04-01,11
694,sr714,sys2134,2017-03-17,11
695,sr715,sys1824,2017-02-05,11
696,sr716,sys1719,2018-05-17,11
697,sr717,sys1623,2018-12-17,11
698,sr718,sys1516,2018-08-13,11
699,sr719,sys2477,2018-07-30,11
700,sr787,sys1956,2016-03-02,11
701,sr720,sys1705,2020-04-06,11
