,ownershiptype,systemcoveragelevelwarrantyc,installdate,ageagainstinstallation,deinstalldate,avgreplacementage,expectedreplacementdate,transferacceptancedate,shippeddate,warrantystartdate,warrantyenddate,contractstartdate,contractenddate,typ,contract_line_status,contract_length_days,contract_start_date,contract_end_date,contractcanceldate,last_covered_date,contract_length_months,dummy_sysid
82204,,,2011-01-01,10.75,,4.05,JAN-20-2015,JUN-30-2013,,,,,,COMPONENT,,,,,,,,sys2346
152703,,Contract,2011-01-11,10.72,,408.51,APR-10-2419,JAN-12-2011,,,,JAN-15-2012,DEC-31-2012,CONTRACTS,Active,352.0,00:00.0,00:00.0,,31-12-2022 00:00,11.54838,sys1741
15404,,Contract,2011-02-01,10.66,,408.51,MAY-01-2419,MAR-23-2011,,FEB-01-2011,JAN-31-2012,,,WARRANTY,,,,,,31-10-2021 00:00,,sys1485
18965,,Contract,2011-02-01,10.66,,5.55,AUG-22-2016,,JAN-29-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys722
112651,,Contract,2011-02-03,10.66,,408.51,MAY-03-2419,FEB-04-2011,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys2132
105163,,Contract,2011-02-09,10.64,,5.55,AUG-30-2016,,FEB-06-2011,,,APR-01-2020,MAR-31-2021,CONTRACTS,Expired,365.0,,,,31-03-2022 00:00,12.0,sys901
90366,,Contract,2011-02-10,10.64,,5.55,AUG-31-2016,,FEB-06-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1140
50719,,Contract,2011-02-12,10.63,,5.55,SEP-02-2016,,FEB-08-2011,,,,,COMPONENT,,,,,,28-02-2023 00:00,,sys1119
50664,,Contract,2011-02-14,10.63,,5.07,MAR-10-2016,,FEB-11-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1159
90708,,Contract,2011-03-10,10.56,,5.55,SEP-28-2016,,MAR-03-2011,,,APR-01-2017,MAR-31-2020,CONTRACTS,Expired,1096.0,,,,31-03-2023 00:00,36.0,sys1209
84151,,Contract,2011-03-15,10.55,,5.55,OCT-03-2016,MAR-17-2011,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1883
56771,,Contract,2011-03-23,10.53,,5.55,OCT-11-2016,MAR-24-2011,,MAR-23-2011,MAR-22-2012,,,WARRANTY,,,,,,31-12-2025 00:00,,sys1523
46858,,Contract,2011-03-23,10.53,,5.55,OCT-11-2016,,MAR-18-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys682
113037,,Contract,2011-03-24,10.52,,4.05,APR-12-2015,MAR-28-2011,,,,APR-01-2018,MAR-31-2019,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-10-2021 00:00,12.0,sys1519
96530,,Contract,2011-03-24,10.52,,5.55,OCT-12-2016,MAR-28-2011,,,,FEB-01-2016,JAN-31-2017,CONTRACTS,Active,366.0,00:00.0,00:00.0,,31-10-2021 00:00,12.0,sys1486
15161,,Contract,2011-03-24,10.52,,5.55,OCT-12-2016,,MAR-20-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys551
35182,,HBS,2011-03-27,10.52,,5.55,OCT-15-2016,MAR-30-2011,,,,,,COMPONENT,,,,,,31-07-2021 00:00,,sys1914
132497,,HBS,2011-03-28,10.51,,5.55,OCT-16-2016,AUG-31-2011,,,,,,COMPONENT,,,,,,31-07-2021 00:00,,sys1881
27372,,Contract,2011-03-30,10.51,,5.55,OCT-18-2016,,MAR-22-2011,,,,,COMPONENT,,,,,,31-03-2024 00:00,,sys1252
70300,,Contract,2011-03-30,10.51,,5.55,OCT-18-2016,,MAR-22-2011,JUN-30-2011,JUN-30-2012,,,WARRANTY,,,,,,30-06-2022 00:00,,sys1189
119891,,Contract,2011-03-30,10.51,,5.55,OCT-18-2016,MAR-31-2011,FEB-23-2011,,,APR-01-2017,MAR-31-2018,CONTRACTS,Active,365.0,,,,31-03-2025 00:00,12.0,sys547
151397,,HBS,2011-03-30,10.51,,5.07,APR-23-2016,,,,,,,CONTRACTS,,,,,,,,sys2218
128973,,Contract,2011-03-31,10.5,,408.51,JUN-28-2419,MAR-31-2011,,,,MAR-31-2012,MAR-30-2013,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-03-2024 00:00,12.0,sys1380
104221,,HBS,2011-04-01,10.5,,5.07,APR-25-2016,APR-01-2011,,,,APR-01-2013,MAR-31-2014,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-03-2016 00:00,12.0,sys2211
90527,,Contract,2011-04-01,10.5,,5.55,OCT-20-2016,APR-19-2011,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1848
15118,,Contract,2011-04-03,10.5,,5.69,DEC-10-2016,,APR-01-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys743
50905,,Contract,2011-04-05,10.49,,1.27,JUL-12-2012,MAY-06-2011,,,,JAN-01-2018,DEC-31-2018,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1756
98403,,Contract,2011-04-07,10.49,,5.55,OCT-26-2016,APR-13-2011,,,,APR-01-2021,MAR-31-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-03-2022 00:00,12.0,sys1154
84568,Lease,Contract,2011-04-08,10.48,,5.55,OCT-27-2016,,,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys926
54648,,Contract,2011-04-13,10.47,,5.69,DEC-20-2016,,MAR-17-2011,,,,,COMPONENT,,,,,,31-03-2024 00:00,,sys954
112910,,Contract,2011-04-21,10.45,,5.55,NOV-09-2016,,APR-17-2011,,,,,COMPONENT,,,,,,31-05-2023 00:00,,sys1250
74646,,Contract,2011-05-02,10.42,,4.05,MAY-21-2015,MAY-20-2011,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1497
37017,,Contract,2011-05-05,10.41,,5.55,NOV-23-2016,,MAY-03-2011,,,,,COMPONENT,,,,,,30-06-2022 00:00,,sys943
9345,,Contract,2011-05-07,10.4,,5.55,NOV-25-2016,,MAY-04-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1059
24999,,Contract,2011-05-15,10.38,,408.51,AUG-12-2419,APR-08-2011,,,,,,COMPONENT,,,,,,31-12-2026 00:00,,sys1696
81734,,Contract,2011-05-16,10.38,,4.05,JUN-04-2015,,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys1121
12325,,HBS,2011-05-20,10.37,,5.07,JUN-13-2016,JUN-20-2011,,,,,,COMPONENT,,,,,,30-04-2021 00:00,,sys1549
129628,Purchase,,2011-06-03,10.33,,5.55,DEC-22-2016,,APR-19-2011,,,,,COMPONENT,,,,,,,,sys2546
154633,,Contract,2011-06-09,10.31,,5.55,DEC-28-2016,,JUN-05-2011,,,,,COMPONENT,,,,,,30-06-2022 00:00,,sys1031
15956,,Contract,2011-06-15,10.3,,5.07,JUL-09-2016,SEP-29-2011,,,,SEP-01-2019,AUG-31-2020,CONTRACTS,Active,366.0,00:00.0,00:00.0,,31-08-2022 00:00,12.0,sys1650
152162,,Contract,2011-06-16,10.29,,5.07,JUL-10-2016,JUN-24-2011,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1770
132115,,Contract,2011-06-21,10.28,,5.07,JUL-15-2016,DEC-26-2011,,JUL-13-2011,JUL-08-2012,,,WARRANTY,,,,,,30-06-2022 00:00,,sys2496
112342,,Contract,2011-06-21,10.28,,5.55,JAN-09-2017,,JUN-21-2011,,,,,COMPONENT,,,,,,31-01-2022 00:00,,sys144
134236,,Contract,2011-06-21,10.28,,5.07,JUL-15-2016,JUN-23-2011,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2021 00:00,12.0,sys1575
108987,,Contract,2011-06-21,10.28,,5.55,JAN-09-2017,JUN-23-2011,APR-27-2011,,,JUN-21-2012,JUN-20-2022,CONTRACTS,Accepted,3652.0,,,,20-06-2022 00:00,120.0,sys827
117786,,Contract,2011-06-25,10.27,,5.07,JUL-19-2016,,JUN-21-2011,,,,,COMPONENT,,,,,,31-07-2024 00:00,,sys1069
122395,,Contract,2011-06-28,10.26,,5.07,JUL-22-2016,JUN-30-2011,,,,,,COMPONENT,,,,,,31-08-2023 00:00,,sys1629
93211,,Contract,2011-06-29,10.26,,5.55,JAN-17-2017,SEP-15-2011,,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1646
125528,,Contract,2011-06-29,10.26,,5.07,JUL-23-2016,JUN-30-2011,,,,SEP-01-2018,AUG-31-2019,CONTRACTS,Active,365.0,00:00.0,00:00.0,,14-05-2023 00:00,12.0,sys1713
107854,,Contract,2011-06-30,10.26,,5.07,JUL-24-2016,JUL-01-2011,,,,JUN-30-2014,JUN-29-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-08-2022 00:00,12.0,sys1796
107855,,Contract,2011-06-30,10.26,,5.07,JUL-24-2016,,,,,SEP-30-2014,SEP-29-2015,CONTRACTS,Active,365.0,00:00.0,00:00.0,,29-09-2022 00:00,12.0,sys1462
34816,,Contract,2011-07-01,10.25,,4.05,JUL-20-2015,,,,,JUN-30-2012,JUN-29-2013,CONTRACTS,Active,365.0,00:00.0,00:00.0,,30-11-2021 00:00,12.0,sys1686
64497,,Contract,2011-07-04,10.24,,5.07,JUL-28-2016,JUN-30-2011,,,,DEC-01-2017,NOV-30-2018,CONTRACTS,Active,365.0,,,,28-02-2022 00:00,12.0,sys972
17249,,Contract,2011-07-06,10.24,,408.51,OCT-03-2419,,,,,JAN-01-2012,JUL-06-2012,CONTRACTS,Active,188.0,00:00.0,00:00.0,,31-12-2021 00:00,6.1935400000000005,sys807
130211,,Contract,2011-07-08,10.23,,5.55,JAN-26-2017,,JUL-08-2011,,,,,COMPONENT,,,,,,31-07-2022 00:00,,sys233
131654,,Contract,2011-07-09,10.23,,5.07,AUG-02-2016,AUG-08-2011,,,,OCT-26-2014,JUN-25-2015,CONTRACTS,Active,243.0,00:00.0,00:00.0,,28-02-2022 00:00,8.0,sys1745
46358,,Contract,2011-07-20,10.2,,5.07,AUG-13-2016,,JUL-17-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1076
52336,,Contract,2011-08-17,10.12,,5.55,MAR-07-2017,DEC-14-2011,JUL-19-2011,,,,,COMPONENT,,,,,,31-10-2021 00:00,,sys1907
47220,,Contract,2011-09-07,10.07,,408.51,DEC-05-2419,SEP-13-2011,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1203
160532,,HBS,2011-09-12,10.05,,5.07,OCT-06-2016,SEP-13-2011,,,,,,COMPONENT,,,,,,30-09-2017 00:00,,sys2150
147798,,Contract,2011-09-19,10.03,,5.55,APR-09-2017,SEP-22-2011,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1786
77068,,HBS,2011-09-20,10.03,,5.07,OCT-14-2016,SEP-21-2011,,,,,,COMPONENT,,,,,,30-06-2019 00:00,,sys1844
159345,,Contract,2011-09-21,10.03,,5.3,JAN-10-2017,,,,,JAN-01-2016,DEC-31-2016,CONTRACTS,Active,366.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys806
72593,,Contract,2011-09-22,10.03,,5.55,APR-12-2017,SEP-25-2011,,,,APR-18-2019,APR-17-2020,CONTRACTS,Cancelled,366.0,00:00.0,00:00.0,,31-01-2023 00:00,12.0,sys1567
57525,,HBS,2011-09-23,10.02,,5.07,OCT-17-2016,SEP-26-2011,,SEP-23-2011,SEP-22-2012,,,WARRANTY,,,,,,17-09-2020 00:00,,sys1856
66531,,Contract,2011-09-25,10.02,,5.07,OCT-19-2016,,SEP-19-2011,SEP-29-2011,SEP-30-2012,,,WARRANTY,,,,,,30-09-2022 00:00,,sys1183
61178,,Contract,2011-09-27,10.01,,1.15,NOV-23-2012,SEP-28-2011,,,,JAN-01-2017,DEC-31-2017,CONTRACTS,Active,365.0,00:00.0,00:00.0,,30-06-2022 00:00,12.0,sys1504
72638,,Contract,2011-09-28,10.01,,5.55,APR-18-2017,,SEP-25-2011,,,OCT-01-2019,SEP-30-2020,CONTRACTS,Expired,366.0,,,00:00.0,30-06-2025 00:00,12.0,sys1098
162269,,HBS,2011-09-29,10.01,,5.3,JAN-18-2017,OCT-25-2011,,,,,,COMPONENT,,,,,,,,sys2723
89033,,HBS,2011-09-30,10.0,,5.07,OCT-24-2016,SEP-30-2011,,,,JAN-01-2019,DEC-31-2019,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2020 00:00,12.0,sys1350
134165,,Contract,2011-09-30,10.0,,1.27,JAN-06-2013,,,,,JAN-01-2019,DEC-31-2019,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys1125
145667,,HBS,2011-10-05,9.99,,5.07,OCT-29-2016,,,,,,,COMPONENT,,,,,,,,sys2220
63355,,Contract,2011-10-10,9.98,,5.55,APR-30-2017,,OCT-07-2011,NOV-01-2011,OCT-31-2012,,,WARRANTY,,,,,,30-11-2022 00:00,,sys1248
12334,,HBS,2011-10-18,9.95,,5.55,MAY-08-2017,DEC-14-2011,SEP-27-2011,,,,,COMPONENT,,,,,,,,sys2512
125186,,Contract,2011-10-18,9.95,,5.55,MAY-08-2017,DEC-20-2011,AUG-25-2011,,,,,COMPONENT,,,,,,31-12-2022 00:00,,sys288
51493,,HBS,2011-10-19,9.95,,5.3,FEB-07-2017,NOV-23-2011,SEP-16-2011,,,APR-01-2018,MAR-31-2019,CONTRACTS,Active,365.0,,,,30-06-2021 00:00,12.0,sys1023
42346,,Contract,2011-10-19,9.95,,5.69,JUN-27-2017,,OCT-15-2011,,,NOV-01-2017,OCT-31-2018,CONTRACTS,Expired,365.0,,,,31-03-2022 00:00,12.0,sys791
142002,,Contract,2011-10-21,9.95,,5.07,NOV-14-2016,,OCT-16-2011,,,,,COMPONENT,,,,,,31-10-2021 00:00,,sys1101
20099,,Contract,2011-10-25,9.93,,5.55,MAY-15-2017,NOV-21-2011,AUG-22-2011,,,,,COMPONENT,,,,,,31-03-2023 00:00,,sys920
65874,,Contract,2011-10-31,9.92,,5.07,NOV-24-2016,,OCT-23-2011,,,JAN-01-2013,DEC-31-2013,CONTRACTS,Expired,365.0,,,,31-12-2021 00:00,12.0,sys1105
144813,,HBS,2011-10-31,9.92,,5.07,NOV-24-2016,NOV-04-2011,,,,,,COMPONENT,,,,,,30-06-2019 00:00,,sys1878
92918,,Contract,2011-10-31,9.92,,5.3,FEB-19-2017,DEC-15-2011,OCT-03-2011,,,OCT-24-2012,DEC-31-2012,CONTRACTS,Active,69.0,,,,31-12-2021 00:00,2.25806,sys618
56374,,Contract,2011-11-01,9.92,,4.05,NOV-20-2015,MAR-28-2012,,,,,,COMPONENT,,,,,,30-09-2021 00:00,,sys2175
66849,Purchase,Contract,2011-11-09,9.89,,4.38,MAR-28-2016,DEC-09-2011,OCT-28-2011,,,,,COMPONENT,,,,,,31-12-2024 18:00,,sys224
68245,,Contract,2011-11-11,9.89,,5.55,JUN-01-2017,,NOV-06-2011,,,,,COMPONENT,,,,,,31-12-2023 00:00,,sys527
129320,,HBS,2011-11-15,9.88,,408.51,FEB-12-2420,NOV-15-2011,,,,,,COMPONENT,,,,,,31-03-2017 00:00,,sys2177
13587,Purchase,Contract,2011-11-18,9.87,,4.05,DEC-07-2015,DEC-05-2011,NOV-18-2011,,,JUL-01-2018,NOV-30-2020,CONTRACTS,Terminated,884.0,17:08.0,00:00.0,00:00.0,31-08-2027 17:00,29.0,sys152
39604,,Contract,2011-11-21,9.86,,5.55,JUN-11-2017,NOV-24-2011,,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1812
60899,,Contract,2011-11-24,9.85,,5.3,MAR-15-2017,,,,,NOV-25-2011,NOV-24-2012,CONTRACTS,Active,366.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys834
136124,,Contract,2011-11-30,9.84,,5.07,DEC-24-2016,DEC-01-2011,,,,JUN-01-2019,DEC-31-2019,CONTRACTS,Active,214.0,00:00.0,00:00.0,,31-12-2021 00:00,7.0,sys1706
97757,,Contract,2011-12-09,9.81,,4.05,DEC-28-2015,DEC-12-2011,,,,DEC-09-2012,DEC-08-2013,CONTRACTS,Active,365.0,00:00.0,00:00.0,,14-05-2023 00:00,12.0,sys1573
27963,,Contract,2011-12-13,9.8,,5.3,APR-03-2017,DEC-14-2011,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1872
45500,,Contract,2011-12-15,9.8,,5.55,JUL-05-2017,,NOV-14-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys837
102172,,Contract,2011-12-15,9.8,,5.55,JUL-05-2017,,NOV-07-2011,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys726
149316,,Contract,2011-12-19,9.78,,408.51,MAR-17-2420,,DEC-17-2011,,,JAN-01-2015,DEC-31-2015,CONTRACTS,Expired,365.0,,,,31-12-2021 00:00,12.0,sys959
120950,,HBS,2011-12-23,9.77,,5.07,JAN-16-2017,,,,,,,COMPONENT,,,,,,,,sys2286
53852,,Contract,2011-12-25,9.77,,5.55,JUL-15-2017,,DEC-23-2011,,,,,COMPONENT,,,,,,31-12-2023 00:00,,sys1282
35839,,Contract,2011-12-26,9.76,,5.3,APR-16-2017,,,,,MAR-25-2021,MAR-24-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,24-03-2022 00:00,12.0,sys2164
93477,,Contract,2011-12-27,9.76,,4.05,JAN-15-2016,DEC-28-2011,,,,JAN-01-2017,DEC-31-2017,CONTRACTS,Active,365.0,00:00.0,00:00.0,,14-05-2023 00:00,12.0,sys1566
111949,,Contract,2011-12-28,9.76,,5.07,JAN-21-2017,DEC-28-2011,,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1729
87993,,Contract,2011-12-28,9.76,,5.55,JUL-18-2017,,DEC-25-2011,,,,,COMPONENT,,,,,,31-12-2021 00:00,,sys1055
72054,,Contract,2011-12-29,9.76,,5.55,JUL-19-2017,DEC-31-2011,,,,FEB-01-2019,JAN-31-2020,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-01-2022 00:00,12.0,sys1709
161188,,Contract,2011-12-29,9.76,,5.3,APR-19-2017,,,,,DEC-30-2011,DEC-29-2012,CONTRACTS,Active,366.0,00:00.0,00:00.0,,31-12-2025 00:00,12.0,sys1001
18817,,HBS,2011-12-30,9.75,,5.3,APR-20-2017,DEC-30-2011,,,,,,COMPONENT,,,,,,15-01-2015 00:00,,sys2236
120346,,HBS,2011-12-30,9.75,,5.55,JUL-20-2017,,,,,,,COMPONENT,,,,,,,,sys2143
101951,,HBS,2012-01-09,9.73,,5.55,JUL-30-2017,,JAN-09-2012,,,,,COMPONENT,,,,,,,,sys1320
88685,,Contract,2012-01-10,9.72,,5.55,JUL-31-2017,,DEC-11-2011,,,,,WARRANTY,,,,,,30-04-2025 00:00,,sys2459
150732,,HBS,2012-01-23,9.69,,5.07,FEB-16-2017,,,,,,,COMPONENT,,,,,,,,sys2347
156496,,Contract,2012-01-27,9.68,,1.15,MAR-25-2013,JUN-27-2012,,,,OCT-19-2020,OCT-18-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,18-10-2021 00:00,12.0,sys1561
20940,,Contract,2012-02-07,9.65,,5.55,AUG-28-2017,,FEB-04-2012,,,,,COMPONENT,,,,,,28-02-2023 00:00,,sys1144
73657,,Contract,2012-02-16,9.62,,5.55,SEP-06-2017,,,,,DEC-01-2021,NOV-30-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,30-11-2022 00:00,12.0,sys1348
59187,,Contract,2012-02-16,9.62,,5.07,MAR-12-2017,,,,,JAN-01-2021,DEC-31-2021,CONTRACTS,Active,365.0,00:00.0,00:00.0,,31-12-2022 00:00,12.0,sys1481
38599,,Contract,2012-02-16,9.62,,5.55,SEP-06-2017,,FEB-12-2012,,,,,COMPONENT,,,,,,28-02-2023 00:00,,sys676
130747,,Contract,2012-02-21,9.61,,5.55,SEP-11-2017,,JAN-22-2012,,,,,COMPONENT,,,,,,31-12-2023 00:00,,sys2608
111139,,Contract,2012-02-22,9.61,,5.3,JUN-13-2017,,FEB-22-2012,,,OCT-01-2019,SEP-30-2020,CONTRACTS,Expired,366.0,,,,30-09-2021 00:00,12.0,sys2541
32360,,Contract,2012-02-23,9.6,,5.55,SEP-13-2017,,FEB-20-2012,,,,,COMPONENT,,,,,,31-03-2024 00:00,,sys1431
131867,,Contract,2012-02-24,9.6,,1.15,APR-22-2013,MAR-21-2012,,,,MAY-15-2021,MAY-14-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,14-05-2026 00:00,12.0,sys1645
12149,,Contract,2012-02-27,9.59,,408.51,MAY-26-2420,,,,,APR-19-2021,APR-18-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,18-04-2022 00:00,12.0,sys1690
60543,,Contract,2012-02-27,9.59,,5.55,SEP-17-2017,,FEB-20-2012,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys824
51644,,Contract,2012-02-28,9.59,,5.07,MAR-24-2017,,FEB-25-2012,,,,,COMPONENT,,,,,,31-10-2021 00:00,,sys1391
36213,,Contract,2012-03-01,9.58,,5.69,NOV-08-2017,,FEB-26-2012,,,MAY-01-2015,APR-30-2020,CONTRACTS,Expired,1827.0,,,,30-04-2025 00:00,60.0,sys809
120693,,Contract,2012-03-02,9.58,,1.15,APR-29-2013,MAR-21-2012,,,,MAY-15-2021,MAY-14-2022,CONTRACTS,Active,365.0,00:00.0,00:00.0,,14-05-2026 00:00,12.0,sys1597
135044,,Contract,2012-03-07,9.57,,5.3,JUN-27-2017,APR-17-2012,,,,FEB-01-2017,MAR-02-2017,CONTRACTS,Active,30.0,00:00.0,00:00.0,,31-12-2021 00:00,1.06451,sys1129
66492,,Contract,2012-03-07,9.57,,5.55,SEP-26-2017,,MAR-01-2012,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys982
86102,,Contract,2012-03-09,9.56,,5.55,SEP-28-2017,,MAR-05-2012,,,,,COMPONENT,,,,,,31-03-2022 00:00,,sys1006
148274,Purchase,HBS,2012-03-09,9.56,,4.36,JUL-21-2016,APR-11-2012,MAR-09-2012,,,MAY-01-2014,APR-30-2019,CONTRACTS,Expired,1826.0,15:00.0,00:00.0,,30-04-2019 05:00,60.0,sys385
